date,description,precipitation,temperature,humidity,wind,icon
"Sun 02, Apr 2017 12:00 AM",Clear,0%,76 F,89%,NE 4.94 mph,clear-night
"Sun 02, Apr 2017 1:00 AM",Clear,0%,75 F,90%,NE 5.18 mph,clear-night
"Sun 02, Apr 2017 2:00 AM",Clear,0%,75 F,90%,NE 5.49 mph,clear-night
"Sun 02, Apr 2017 3:00 AM",Clear,0%,75 F,90%,ENE 5.54 mph,clear-night
"Sun 02, Apr 2017 4:00 AM",Clear,0%,74 F,90%,ENE 5.3 mph,clear-night
"Sun 02, Apr 2017 5:00 AM",Clear,0%,74 F,89%,ENE 4.58 mph,clear-night
"Sun 02, Apr 2017 6:00 AM",Partly Cloudy,0%,75 F,89%,ENE 4.1 mph,partly-cloudy-night
"Sun 02, Apr 2017 7:00 AM",Partly Cloudy,0%,76 F,89%,ENE 4.06 mph,partly-cloudy-day
"Sun 02, Apr 2017 8:00 AM",Clear,0%,78 F,86%,NE 3.85 mph,clear-day
"Sun 02, Apr 2017 9:00 AM",Clear,0%,81 F,81%,NE 3.7 mph,clear-day
"Sun 02, Apr 2017 10:00 AM",Clear,0%,85 F,77%,NE 3.43 mph,clear-day
"Sun 02, Apr 2017 11:00 AM",Clear,2%,88 F,74%,NE 3.16 mph,clear-day
"Sun 02, Apr 2017 12:00 PM",Drizzle,29%,89 F,75%,NNE 2.29 mph,rain
"Sun 02, Apr 2017 1:00 PM",Light Rain,56%,88 F,76%,N 1.97 mph,rain
"Sun 02, Apr 2017 2:00 PM",Light Rain,62%,86 F,78%, 2.8 mph,rain
"Sun 02, Apr 2017 3:00 PM",Light Rain,65%,84 F,80%, 3.57 mph,rain
"Sun 02, Apr 2017 4:00 PM",Light Rain,69%,83 F,81%, 3.78 mph,rain
"Sun 02, Apr 2017 5:00 PM",Light Rain,71%,82 F,83%,N 4.37 mph,rain
"Sun 02, Apr 2017 6:00 PM",Light Rain,69%,80 F,85%,N 4.95 mph,rain
"Sun 02, Apr 2017 7:00 PM",Light Rain,60%,79 F,88%,NNE 5.37 mph,rain
"Sun 02, Apr 2017 8:00 PM",Partly Cloudy,6%,77 F,91%,NNE 5.87 mph,partly-cloudy-night
"Sun 02, Apr 2017 9:00 PM",Partly Cloudy,0%,77 F,92%,NNE 6.2 mph,partly-cloudy-night
"Sun 02, Apr 2017 10:00 PM",Partly Cloudy,0%,77 F,92%,NNE 6.4 mph,partly-cloudy-night
"Sun 02, Apr 2017 11:00 PM",Partly Cloudy,0%,77 F,92%,NNE 6.53 mph,partly-cloudy-night
